Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_Push","SW_SPST_B3U-1000P",67.900000,-63.300000,90.000000,top
"D1","LED","LED_PLCC-2_3.4x3.0mm_KA",69.037200,-48.260000,0.000000,top
"RESET1","SW_Push","SW_SPST_B3U-1000P",114.909600,-48.463200,-90.000000,top
"U2","STM32H503RBTx","LQFP-64_10x10mm_P0.5mm",91.440000,-55.880000,135.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",107.645000,-54.850000,-90.000000,top
"U4","WE-TVS-82400102","SOT-23-6",74.700000,-56.100000,0.000000,top
"X1","ECS-2520MV-080-CN","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",101.420000,-60.200000,180.000000,top
